,train,test,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,0.799431643625192,0.7966045548654244,38,363,0.11998230892561201,0.10342571969276033,6631,0.08535603155716387,0.3756301187834199,0.6174624366396656,499,identity,lbfgs,constant,0,,,,,,,,,,,,,,
1,0.8832386072708653,0.8739130434782609,192,207,0.1024339012293747,0.002328410135000124,47644,0.04073977827769449,0.5221578301786431,0.9435397041614009,555,identity,lbfgs,constant,1,,,,,,,,,,,,,,
2,0.7765130568356374,0.7679503105590062,97,235,0.32178239409597675,0.4383324330889776,19983,0.20031018286746655,0.08875270820999648,0.23741579391401677,273,identity,lbfgs,constant,2,,,,,,,,,,,,,,
3,0.817347670250896,0.8251759834368532,137,60,0.46212745255008003,0.25415287341663323,40297,0.08716812122723429,0.47133624440406674,0.2515618422644904,735,identity,lbfgs,constant,3,,,,,,,,,,,,,,
4,0.7936866359447006,0.7908902691511387,347,139,0.3216767684728503,0.11957339929009993,22447,0.3658162193383616,0.05445229704374374,0.673038977056615,369,identity,lbfgs,constant,4,,,,,,,,,,,,,,
5,0.8832386072708653,0.8824844720496895,447,195,0.04057820714144256,0.08714021266419446,28097,0.04352607122815549,0.8289211309896679,0.6191105279835085,315,identity,lbfgs,constant,5,,,,,,,,,,,,,,
6,0.7851433691756272,0.8022360248447205,61,129,0.0877567272334632,0.429784582695351,46120,0.3897756229170047,0.43786519389080664,0.28210548968000243,960,identity,lbfgs,constant,6,,,,,,,,,,,,,,
7,0.7929800307219662,0.7966045548654245,80,196,0.40804794762797936,0.3982908991882969,20822,0.12776173822699882,0.26391366321936327,0.2994920257377048,187,identity,lbfgs,constant,7,,,,,,,,,,,,,,
8,0.7657936507936508,0.7621946169772257,61,80,0.3245027390670309,0.06743194387398294,5683,0.3648035827880948,0.02952015183434341,0.7337125200496805,162,identity,lbfgs,constant,8,,,,,,,,,,,,,,
9,0.7707936507936507,0.767991718426501,324,415,0.2754001442919001,0.26172335276671516,44974,0.4737435532725305,0.6750062349068606,0.8918225161224216,192,identity,lbfgs,constant,9,,,,,,,,,,,,,,
10,0.7987173579109063,0.7994616977225673,315,329,0.13787612506656394,0.003273926263250861,50000,0.07374739285895524,0.42318015011616833,0.7282163418541148,1000,identity,lbfgs,constant,1,10(s),,,,,,,,,,,,,
11,0.8387941628264208,0.8225258799171844,115,196,0.13271196166144722,0.003177268619797825,44070,0.07553633928052772,0.3794757593647349,0.999,715,identity,lbfgs,constant,1,11(s),,,,,,,,,,,,,
12,0.878937532002048,0.8768944099378881,11,92,0.10103018609894021,0.001780970910696223,50000,0.05618369986030781,0.9164922825263104,0.999,970,identity,lbfgs,constant,1,12(s),,,,,,,,,,,,,
13,0.864600614439324,0.8567701863354037,500,346,0.044664489149254666,0.007912380649283735,48680,0.055428850175285364,0.8951834801024375,0.38314686617966204,312,identity,lbfgs,constant,5,13,,,,,,,,,,,,,
14,0.8846722990271377,0.8824844720496895,331,32,0.009564830273085984,0.013890797189141518,40207,0.03718661353892609,0.08112221889004578,0.999,456,identity,lbfgs,constant,5,14,,,,,,,,,,,,,
15,0.7951356886840758,0.8108488612836439,140,168,0.5,0.5,26204,0.1137934063762538,0.058992281149554425,0.4592437433011849,97,identity,lbfgs,constant,2,15,,,,,,,,,,,,,
16,0.7951280081925243,0.7937474120082816,129,298,0.1576200831213464,0.2593572825554201,9714,0.14739278023191996,0.05549684861464291,0.28206846743517755,228,identity,lbfgs,constant,2,16,,,,,,,,,,,,,
17,0.7808141321044546,0.7880331262939958,77,115,0.12169422479558262,0.3435634988792478,50000,0.5,0.157488157526604,0.007793537256244376,979,identity,lbfgs,constant,6,17,,,,,,,,,,,,,
18,0.7843932411674347,0.80231884057971,77,212,0.10657958527001982,0.5,50000,0.5,0.5599174140781125,0.4359788863673899,723,identity,lbfgs,constant,6,18,,,,,,,,,,,,,
19,0.7944265232974911,0.7822774327122153,27,46,0.1773931211066579,0.44705257309724566,50000,0.4125589834790437,0.724201514528666,0.025160345181732824,144,identity,lbfgs,constant,9,19,,,,,,,,,,,,,
20,0.7929800307219662,0.7994616977225674,107,215,0.4916525369414659,0.43970127769194994,25774,0.18371788263244526,0.5489728418422877,0.10774300325894526,177,identity,lbfgs,constant,9,20,,,,,,,,,,,,,
21,0.7951331285202252,0.787991718426501,149,387,0.4277002447385307,0.2666631304127698,12104,0.12443145703997235,0.4024402927654762,0.1368864686378073,206,identity,lbfgs,constant,7,21,,,,,,,,,,,,,
22,0.8753840245775729,0.8708902691511387,157,153,0.2610984641947228,0.4278963728776207,24033,0.04662199039980834,0.18350401257565502,0.2187881331697446,267,identity,lbfgs,constant,7,22,,,,,,,,,,,,,
23,0.8159114183307732,0.7822360248447204,65,1,0.22764537736640988,0.0406707234072078,1281,0.0828390583247854,0.41112750165589435,0.999,352,identity,lbfgs,constant,0,23,,,,,,,,,,,,,
24,0.8846722990271377,0.8883229813664595,70,500,0.046999044617061836,0.07021946003301514,1000,0.011939171767199414,0.4242602581493589,0.9955078995736849,950,identity,lbfgs,constant,0,24,,,,,,,,,,,,,
25,0.7736303123399897,0.767991718426501,189,85,0.17550573152915583,0.1619239616309812,41770,0.12788481783013714,0.5065719101100301,0.09459033568316669,124,identity,lbfgs,constant,3,25,,,,,,,,,,,,,
26,0.8810880696364567,0.876728778467909,219,78,0.5,0.0037511156516246147,37043,0.03872696464542888,0.4942600613508278,0.12981836411755826,458,identity,lbfgs,constant,3,26,,,,,,,,,,,,,
27,0.7987199180747567,0.7966045548654244,13,143,0.22915593304120158,0.08266949457382955,2192,0.38765608786584965,0.03487551312396537,0.999,5,identity,lbfgs,constant,8,27,,,,,,,,,,,,,
28,0.7930081925243215,0.7792960662525878,24,75,0.04244608180556109,0.02981465515225458,2431,0.09947894762928527,0.030200938309957664,0.9208666394104162,214,identity,lbfgs,constant,8,28,,,,,,,,,,,,,
29,0.8825217613927292,0.8739130434782609,398,46,0.5,0.09884886765893781,1725,0.028420403561497443,0.02725502225372721,0.999,297,identity,lbfgs,constant,4,29,,,,,,,,,,,,,
30,0.789431643625192,0.7993788819875776,500,80,0.5,0.062084138834337076,40714,0.5,0.01321436206766697,0.9675187817412286,55,identity,lbfgs,constant,4,30,,,,,,,,,,,,,
31,0.9011495135688683,0.9026086956521739,22,427,0.0720777821143186,0.008030695544856963,1145,0.002915586106082434,0.5324312720183266,0.999,80,identity,lbfgs,constant,0,24,31(s),,,,,,,,,,,,
32,0.8882565284178188,0.8824844720496895,102,163,0.05206721992254524,0.10850346231674807,1673,0.004965525953912442,0.3911907923326313,0.3540733574539108,985,identity,lbfgs,constant,0,24,32(s),,,,,,,,,,,,
33,0.88610599078341,0.8796273291925466,117,233,0.036808927813151246,0.026567888921511643,1532,0.006064394234025933,0.4599249902700367,0.999,1000,identity,lbfgs,constant,0,24,33(s),,,,,,,,,,,,
34,0.8882565284178188,0.8824844720496895,500,369,0.07406011935203624,0.15394722687951284,36493,0.0052203932734765784,0.999,0.0043399325016669765,107,identity,lbfgs,constant,5,34,,,,,,,,,,,,,
35,0.8116205837173579,0.7994616977225673,27,302,0.07728109003357014,0.11407123303605128,48429,0.06959826582703699,0.4900048294863078,0.999,249,identity,lbfgs,constant,5,35,,,,,,,,,,,,,
36,0.8796543778801844,0.8796687370600415,103,5,0.004162214078919658,0.005035174561394025,50000,0.026560798029373278,0.010519695808338475,0.9757883407398869,685,identity,lbfgs,constant,5,14,36,,,,,,,,,,,,
37,0.8438120839733744,0.8281987577639752,268,25,0.004653477080329562,0.001130746026448231,50000,0.06107157349577913,0.1370381984592242,0.5742110984512714,283,identity,lbfgs,constant,5,14,37,,,,,,,,,,,,
38,0.878937532002048,0.8796273291925466,423,107,0.44030546898441136,0.006293415740725809,50000,0.0530541299275216,0.651647244786008,0.08762309068724493,839,identity,lbfgs,constant,3,26,38,,,,,,,,,,,,
39,0.8882565284178188,0.8824844720496895,35,148,0.2035966180254427,0.006417021634526374,50000,0.00746155091238844,0.4500524176599433,0.23916464419614802,617,identity,lbfgs,constant,3,26,39,,,,,,,,,,,,
40,0.8904070660522274,0.8853416149068323,57,226,0.029897156996517182,0.004548050573860022,1022,0.006102873243635357,0.031164577122592907,0.1483759082345627,158,identity,lbfgs,constant,1,40,,,,,,,,,,,,,
41,0.8896774193548389,0.8883229813664595,17,162,0.11596647271797364,0.003923564874067252,22905,0.028739915966846247,0.6809645613006947,0.999,43,identity,lbfgs,constant,1,41,,,,,,,,,,,,,
