,train,test,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,0.4954651706404863,0.4492753623188405,243,0.7095974500935368,107620,235.47497983945314,linear,0,,,,,,,,,,,,,,,,,,,,,,
1,0.6101449275362318,0.5949275362318841,589,0.7216734044310065,142580,423.57551477577516,linear,1,,,,,,,,,,,,,,,,,,,,,,
2,0.5086255259467041,0.4746376811594203,284,0.48230938070818347,45585,328.46850171984374,linear,2,,,,,,,,,,,,,,,,,,,,,,
3,0.5083917718560075,0.5268115942028986,325,0.6205349187966402,138466,362.99936669105796,linear,3,,,,,,,,,,,,,,,,,,,,,,
4,0.549251986909771,0.5268115942028986,511,0.1914254407765857,115235,94.45430717724386,linear,4,,,,,,,,,,,,,,,,,,,,,,
5,0.538288920056101,0.5539855072463769,560,0.010650998981526166,60243,477.5775261653433,linear,5,,,,,,,,,,,,,,,,,,,,,,
6,0.5690977092099112,0.5246376811594203,230,0.18161969016923615,193899,314.18256598004393,linear,6,,,,,,,,,,,,,,,,,,,,,,
7,0.5409770920991117,0.5521739130434783,969,0.4164635594334899,35489,406.56368277162744,linear,7,,,,,,,,,,,,,,,,,,,,,,
8,0.5755493221131369,0.5420289855072464,198,0.42737856233416593,26097,350.286422149874,linear,8,,,,,,,,,,,,,,,,,,,,,,
9,0.48265544647031317,0.5351449275362319,562,0.17404488602561896,122538,335.9401271607543,linear,9,,,,,,,,,,,,,,,,,,,,,,
10,0.5970313230481533,0.6286231884057971,252,0.12963450348337968,140127,49.02801628073769,linear,1,10(s),,,,,,,,,,,,,,,,,,,,,
11,0.6616877045348293,0.6282608695652174,166,0.08926332165435069,200000,321.89377599936836,linear,1,11(s),,,,,,,,,,,,,,,,,,,,,
12,0.4827956989247312,0.4913043478260869,906,0.8,200000,500.0,linear,1,12(s),,,,,,,,,,,,,,,,,,,,,
13,0.5626460963066854,0.5934782608695652,478,0.009710560132420784,23165,354.59956067076973,linear,5,13,,,,,,,,,,,,,,,,,,,,,
14,0.4589527816736793,0.5007246376811594,17,0.005844710327366124,4252,11.650877474944366,linear,5,14,,,,,,,,,,,,,,,,,,,,,
15,0.5664562879850397,0.5369565217391304,721,0.3633924214002839,36253,290.95387861279363,linear,7,15,,,,,,,,,,,,,,,,,,,,,
16,0.5431743805516597,0.525,834,0.2828628810664099,8186,71.43563177749195,linear,7,16,,,,,,,,,,,,,,,,,,,,,
17,0.4761337073398785,0.45688405797101456,79,0.19787073384149242,3288,500.0,linear,8,17,,,,,,,,,,,,,,,,,,,,,
18,0.575619448340346,0.541304347826087,30,0.24942931094642734,16037,46.26926325851508,linear,8,18,,,,,,,,,,,,,,,,,,,,,
19,0.5475689574567555,0.6467391304347825,694,0.050949203573613225,139747,384.8319636133019,linear,9,19,,,,,,,,,,,,,,,,,,,,,
20,0.5493454885460495,0.5431159420289855,522,0.0376923935307788,200000,447.9869753591086,linear,9,20,,,,,,,,,,,,,,,,,,,,,
21,0.4976390836839645,0.4992753623188406,491,0.21662803601521224,200000,216.3605380895515,linear,3,21,,,,,,,,,,,,,,,,,,,,,
22,0.7176951846657318,0.6550724637681159,115,0.24298148085722598,200000,497.2427743872008,linear,3,22,,,,,,,,,,,,,,,,,,,,,
23,0.5088826554464704,0.47318840579710136,922,0.10703627151115802,179885,82.143202925829,linear,4,23,,,,,,,,,,,,,,,,,,,,,
