,train,test,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
51,0.9061725550435227,0.7678260869565218,2,43,uniform,ball_tree,euclidean,0,12(s),34,40,51,,,,,,,,,,,,,,
52,0.8510010240655402,0.8481159420289854,40,300,uniform,ball_tree,euclidean,0,12(s),34,40,52,,,,,,,,,,,,,,
53,0.8552944188428061,0.8480745341614906,26,102,uniform,ball_tree,euclidean,0,12(s),34,40,44,53,,,,,,,,,,,,,
54,1.0,0.7993788819875777,1,93,uniform,ball_tree,euclidean,0,12(s),34,40,44,54,,,,,,,,,,,,,
55,0.8753533026113672,0.8738716356107661,8,12,uniform,ball_tree,euclidean,4,14,32(s),43(s),55(s),,,,,,,,,,,,,,
56,0.8667613927291347,0.859544513457557,11,4,uniform,ball_tree,euclidean,4,14,32(s),43(s),56(s),,,,,,,,,,,,,,
57,0.8667613927291347,0.859544513457557,11,4,uniform,ball_tree,euclidean,4,14,32(s),43(s),57(s),,,,,,,,,,,,,,
58,0.8703379416282642,0.8537888198757763,12,6,uniform,ball_tree,euclidean,4,14,32(s),43(s),47(s),58,,,,,,,,,,,,,
59,0.8667613927291347,0.859544513457557,11,21,uniform,ball_tree,euclidean,4,14,32(s),43(s),47(s),59,,,,,,,,,,,,,
60,0.8753533026113672,0.8738716356107661,8,10,uniform,ball_tree,euclidean,4,14,32(s),43(s),48(s),60,,,,,,,,,,,,,
61,1.0,0.7993788819875777,1,7,uniform,ball_tree,euclidean,4,14,32(s),43(s),48(s),61,,,,,,,,,,,,,
62,1.0,0.7993788819875777,1,84,uniform,ball_tree,euclidean,0,12(s),34,40,44,54,62,,,,,,,,,,,,
63,1.0,0.7993788819875777,1,168,uniform,ball_tree,euclidean,0,12(s),34,40,44,54,63,,,,,,,,,,,,
64,0.8717639528929851,0.8681573498964804,10,2,uniform,ball_tree,euclidean,4,14,32(s),43(s),64(s),,,,,,,,,,,,,,
65,1.0,0.7993788819875777,1,3,uniform,ball_tree,euclidean,4,14,32(s),43(s),65(s),,,,,,,,,,,,,,
66,0.8631822836661547,0.8566459627329192,13,10,uniform,ball_tree,euclidean,4,14,32(s),43(s),66(s),,,,,,,,,,,,,,
67,0.8689016897081412,0.8624016563146997,9,8,uniform,ball_tree,euclidean,4,14,32(s),43(s),48(s),67,,,,,,,,,,,,,
68,0.8932667690732208,0.8594616977225673,6,4,uniform,ball_tree,euclidean,4,14,32(s),43(s),48(s),68,,,,,,,,,,,,,
69,0.8689016897081412,0.8624016563146997,9,7,uniform,ball_tree,euclidean,4,14,32(s),43(s),56(s),69,,,,,,,,,,,,,
70,0.8717639528929851,0.8681573498964804,10,1,uniform,ball_tree,euclidean,4,14,32(s),43(s),56(s),70,,,,,,,,,,,,,
71,1.0,0.7993788819875777,1,7,uniform,ball_tree,euclidean,0,12(s),34,40,44,54,62,71,,,,,,,,,,,
72,1.0,0.7993788819875777,1,97,uniform,ball_tree,euclidean,0,12(s),34,40,44,54,62,72,,,,,,,,,,,
73,0.8653251408090117,0.859544513457557,14,1,uniform,ball_tree,euclidean,4,14,32(s),43(s),73(s),,,,,,,,,,,,,,
74,0.8753533026113672,0.8738716356107661,8,13,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),,,,,,,,,,,,,,
75,0.8753533026113672,0.8738716356107661,8,1,uniform,ball_tree,euclidean,4,14,32(s),43(s),75(s),,,,,,,,,,,,,,
76,0.8667613927291347,0.859544513457557,11,1,uniform,ball_tree,euclidean,4,14,32(s),43(s),64(s),76,,,,,,,,,,,,,
77,0.8875320020481311,0.8337474120082817,4,1,uniform,ball_tree,euclidean,4,14,32(s),43(s),64(s),77,,,,,,,,,,,,,
78,0.8610240655401945,0.8509730848861283,17,12,uniform,ball_tree,euclidean,4,14,32(s),43(s),48(s),67,78,,,,,,,,,,,,
79,0.8624628776241678,0.8538302277432711,15,6,uniform,ball_tree,euclidean,4,14,32(s),43(s),48(s),67,79,,,,,,,,,,,,
