,train,test,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,0.7083484573502722,0.7085714285714286,320,452,0.1930679646127901,0.34696457160810973,26193,0.2684398333942633,0.27208237615882575,0.18569548917610798,15,identity,lbfgs,constant,0,,,,,,,,,,,,,,,,,,
1,0.7049606775559589,0.7085714285714286,349,15,0.402026737256615,0.4620194725300512,40627,0.4601542382202922,0.38292627482088126,0.33119827385632034,218,identity,lbfgs,constant,1,,,,,,,,,,,,,,,,,,
2,0.7290986085904416,0.7228571428571429,357,304,0.18782359219519854,0.18331439722587678,29677,0.21159479779116824,0.9715597666357383,0.1460955706402284,84,identity,lbfgs,constant,2,,,,,,,,,,,,,,,,,,
3,0.6978221415607985,0.6523809523809524,113,233,0.01445055881161727,0.005118157034759122,47925,0.34412319313503986,0.12256046736884538,0.306848201834217,790,identity,lbfgs,constant,3,,,,,,,,,,,,,,,,,,
4,0.805686630369026,0.7933333333333333,471,404,0.07705561765588366,0.46156870071634143,20290,0.041703147137391545,0.17713351383770806,0.9910528056078248,575,identity,lbfgs,constant,4,,,,,,,,,,,,,,,,,,
5,0.7988505747126436,0.78,325,28,0.4348585644710037,0.3986792085100663,25379,0.05598432086410073,0.2577551576736704,0.8854453310861196,49,identity,lbfgs,constant,5,,,,,,,,,,,,,,,,,,
6,0.7600725952813068,0.78,364,462,0.4892542160408178,0.45451674189655034,42508,0.12215026426419937,0.40912126594847975,0.15313878626026028,798,identity,lbfgs,constant,6,,,,,,,,,,,,,,,,,,
7,0.8821536600120992,0.8761904761904763,273,74,0.07841338834345181,0.439839560540396,14640,0.024891862908009977,0.494458661414824,0.8274799197055814,891,identity,lbfgs,constant,7,,,,,,,,,,,,,,,,,,
8,0.7294010889292195,0.721904761904762,432,55,0.20273411558862806,0.4281468797786996,46728,0.2976898293886565,0.5207982630091487,0.5072735226662505,914,identity,lbfgs,constant,8,,,,,,,,,,,,,,,,,,
9,0.7985480943738656,0.7942857142857143,104,289,0.25388405470145714,0.17092264681780733,24905,0.08295175090556621,0.5261809053565575,0.30791631188949714,893,identity,lbfgs,constant,9,,,,,,,,,,,,,,,,,,
10,0.8821536600120993,0.8619047619047621,314,28,0.1336046189365884,0.5,11942,0.010378030433683193,0.8861651505287951,0.999,406,identity,lbfgs,constant,7,10(s),,,,,,,,,,,,,,,,,
11,0.8786448880822746,0.8761904761904763,20,4,0.05786678347113162,0.2937584156702182,11749,0.00110681051672323,0.1523245367642892,0.6233262996238729,337,identity,lbfgs,constant,7,11(s),,,,,,,,,,,,,,,,,
12,0.8403508771929825,0.779047619047619,243,96,0.0338130105269685,0.49098313312860586,17240,0.045411602460350295,0.7262332426959892,0.555954822268453,361,identity,lbfgs,constant,7,12(s),,,,,,,,,,,,,,,,,
13,0.8407743496672715,0.8619047619047618,245,14,0.5,0.5,39256,0.042967885689626235,0.43545237658467306,0.999,50,identity,lbfgs,constant,5,13,,,,,,,,,,,,,,,,,
14,0.8924379915305505,0.8333333333333334,385,19,0.5,0.3933165411091436,5012,0.02555589453769126,0.4111694977016569,0.920423404779185,73,identity,lbfgs,constant,5,14,,,,,,,,,,,,,,,,,
15,0.8057471264367816,0.7933333333333333,500,149,0.13438519707312513,0.5,9250,0.05666747726693415,0.023698984147397267,0.2670739982603536,1000,identity,lbfgs,constant,4,15,,,,,,,,,,,,,,,,,
16,0.8717483363581368,0.8209523809523809,187,334,0.13579755001569055,0.3365956379345405,3353,0.03756593611234299,0.0070535664660179576,0.13988499173039803,70,identity,lbfgs,constant,4,16,,,,,,,,,,,,,,,,,
17,0.798669086509377,0.7933333333333333,96,197,0.1942660010711146,0.024007619621446402,29548,0.08271141471969333,0.2270085355872844,0.1276150511810501,1000,identity,lbfgs,constant,9,17,,,,,,,,,,,,,,,,,
18,0.7709013914095585,0.7380952380952381,18,500,0.053238009213461696,0.15710955877843072,40480,0.08376349877254516,0.6008529039852283,0.39183888891022806,1000,identity,lbfgs,constant,9,18,,,,,,,,,,,,,,,,,
19,0.7256503327283726,0.7371428571428572,42,466,0.5,0.5,10208,0.16406964753940764,0.4573280654761754,0.045619510246366776,373,identity,lbfgs,constant,6,19,,,,,,,,,,,,,,,,,
20,0.7883847549909255,0.779047619047619,88,139,0.5,0.5,50000,0.18017150981537775,0.532713699975619,0.2228112563763937,90,identity,lbfgs,constant,6,20,,,,,,,,,,,,,,,,,
