,train,test,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,0.7241000467508183,0.741304347826087,359,25,0.21949079024173876,0.026530320261875073,15563,0.18768595324848292,0.5857758804066208,0.5365277731841241,591,identity,lbfgs,constant,0,,,,,,,,,,,,,,,,,
1,0.7197989714820011,0.7239130434782608,97,29,0.04041702890641239,0.4940452594996518,20647,0.24116245427156485,0.019360309419300118,0.8683778642729724,80,identity,lbfgs,constant,1,,,,,,,,,,,,,,,,,
2,0.7348994857410005,0.7068840579710145,232,480,0.21415721706196636,0.09323665084262132,25356,0.030506332506887893,0.7212481751894846,0.3508110097327315,73,identity,lbfgs,constant,2,,,,,,,,,,,,,,,,,
3,0.7110799438990183,0.7242753623188405,84,70,0.1562584705494351,0.18250881327708493,23527,0.27682871394928676,0.8210698394114968,0.7643397069366484,241,identity,lbfgs,constant,3,,,,,,,,,,,,,,,,,
4,0.7392005610098178,0.7068840579710145,306,136,0.17763399227587864,0.1850327072505924,6032,0.041538863094640346,0.6296804903748083,0.3020627260262195,166,identity,lbfgs,constant,4,,,,,,,,,,,,,,,,,
5,0.7305984104721833,0.7068840579710144,54,106,0.10217657927416114,0.3396242837792184,37584,0.2007793504397456,0.09518091399244415,0.63914597586916,999,identity,lbfgs,constant,5,,,,,,,,,,,,,,,,,
6,0.7112201963534363,0.7068840579710145,233,89,0.3813906336987462,0.4900313618810313,27910,0.2653659641564256,0.2198255892820807,0.7196993936263522,880,identity,lbfgs,constant,6,,,,,,,,,,,,,,,,,
7,0.7305516596540441,0.7152173913043478,281,298,0.1901240469481872,0.4317672820197685,19484,0.11098496187218404,0.5164647712292659,0.5408238837719029,478,identity,lbfgs,constant,7,,,,,,,,,,,,,,,,,
8,0.6853436185133239,0.6804347826086956,364,163,0.1085911655331335,0.4914136304877803,29633,0.48792775584196174,0.08006567551267356,0.7180314530507255,41,identity,lbfgs,constant,8,,,,,,,,,,,,,,,,,
9,0.6940158952781672,0.6804347826086956,383,359,0.21355995280852513,0.02601469206745572,3191,0.41786146026610926,0.6430702592521282,0.7805982953140232,288,identity,lbfgs,constant,9,,,,,,,,,,,,,,,,,
10,0.6636044880785413,0.6644927536231884,2,70,0.30339438037549127,0.2782226298155726,16136,0.49092687809294466,0.999,0.39983783023899205,468,identity,lbfgs,constant,3,10(s),,,,,,,,,,,,,,,,
11,0.7327255726975223,0.7239130434782609,69,25,0.13080562726509673,0.35153252903282595,10865,0.06361477000560675,0.8358005949528142,0.30107595103441065,228,identity,lbfgs,constant,3,11(s),,,,,,,,,,,,,,,,
12,0.7284478728377747,0.6981884057971014,61,15,0.1530790031351995,0.1738975153920686,33891,0.19863712037636005,0.6628098947786436,0.31696725465954423,200,identity,lbfgs,constant,3,12(s),,,,,,,,,,,,,,,,
13,0.7262272089761572,0.7326086956521739,56,188,0.013689093908109934,0.12469612504006711,50000,0.17208929932178205,0.05963243269890408,0.430275046327601,783,identity,lbfgs,constant,5,13,,,,,,,,,,,,,,,,
14,0.719798971482001,0.741304347826087,18,57,0.19270386405321394,0.1364549833701616,27040,0.14327311662617612,0.060318430341948275,0.14862606672750073,1000,identity,lbfgs,constant,5,14,,,,,,,,,,,,,,,,
15,0.7197755960729314,0.7413043478260869,473,13,0.016693922469947553,0.02230885368868934,1000,0.10202775527312738,0.9386719438610258,0.6737660329287617,144,identity,lbfgs,constant,0,15,,,,,,,,,,,,,,,,
16,0.7284478728377748,0.7326086956521739,363,45,0.20116707945923748,0.0031269032180778027,21241,0.314126805494519,0.6651372063394712,0.8289305571328296,295,identity,lbfgs,constant,0,16,,,,,,,,,,,,,,,,
17,0.7478260869565219,0.7152173913043478,500,233,0.1403082931001503,0.1571500093211856,1502,0.03363176168885429,0.999,0.39873036486918195,165,identity,lbfgs,constant,4,17,,,,,,,,,,,,,,,,
18,0.7413510986442263,0.7155797101449275,500,201,0.12944105020193583,0.3662873011028865,1211,0.04856614913239489,0.5816878028306893,0.2503966800656794,125,identity,lbfgs,constant,4,18,,,,,,,,,,,,,,,,
19,0.7176484338475925,0.7499999999999999,267,168,0.5,0.5,36271,0.2674674473314589,0.03516406432923605,0.999,341,identity,lbfgs,constant,6,19,,,,,,,,,,,,,,,,
20,0.7154745208041142,0.7413043478260869,309,62,0.12046726459029855,0.30108955175084906,43116,0.2956264969757739,0.11370314401701503,0.7738341141035254,323,identity,lbfgs,constant,6,20,,,,,,,,,,,,,,,,
21,0.6940158952781672,0.741304347826087,225,125,0.2605947491313452,0.5,9819,0.20010469133516112,0.6304335310755599,0.5606680998317872,460,identity,lbfgs,constant,7,21,,,,,,,,,,,,,,,,
22,0.7305282842449744,0.7239130434782609,396,193,0.12699615001143347,0.5,34091,0.11864767448076924,0.10697140456924248,0.260088928484992,645,identity,lbfgs,constant,7,22,,,,,,,,,,,,,,,,
23,0.7240766713417486,0.7239130434782609,305,351,0.393251048192982,0.0814761393842287,26085,0.05570937078689807,0.7475280517074456,0.550009010075814,106,identity,lbfgs,constant,2,23,,,,,,,,,,,,,,,,
24,0.7348994857410005,0.7068840579710145,343,57,0.09129525363515285,0.095289901865114,1000,0.043640248516861435,0.999,0.36435852101039373,92,identity,lbfgs,constant,2,24,,,,,,,,,,,,,,,,
25,0.7091164095371669,0.7239130434782608,150,30,0.07297533248602606,0.5,30585,0.4595084636946883,0.034959715109406875,0.7032520661386701,83,identity,lbfgs,constant,1,25,,,,,,,,,,,,,,,,
