,train,test,parameters
0,1.0,0.73,"[20, 287, 'distance', 'brute', 'manhattan']"
1,1.0,0.73,"[25, 42, 'distance', 'brute', 'manhattan']"
2,1.0,0.6799999999999999,"[13, 99, 'distance', 'kd_tree', 'manhattan']"
3,0.7279411764705882,0.73,"[8, 220, 'uniform', 'ball_tree', 'euclidean']"
4,0.5580882352941177,0.53,"[28, 44, 'uniform', 'brute', 'manhattan']"
5,0.0,0.0,"[40, 83, 'uniform', 'auto', 'manhattan']"
6,1.0,0.63,"[29, 57, 'distance', 'kd_tree', 'manhattan']"
7,1.0,0.73,"[18, 38, 'distance', 'auto', 'manhattan']"
8,1.0,0.73,"[17, 240, 'distance', 'auto', 'manhattan']"
9,0.0,0.0,"[42, 261, 'uniform', 'ball_tree', 'euclidean']"
10,1.0,0.73,"[10, 3, 'distance', 'auto', 'manhattan']"
11,0.6801470588235294,0.6799999999999999,"[4, 165, 'uniform', 'brute', 'manhattan']"
12,0.3294117647058824,0.3,"[32, 204, 'uniform', 'kd_tree', 'manhattan']"
13,1.0,0.73,"[21, 261, 'distance', 'kd_tree', 'manhattan']"
14,1.0,0.6799999999999999,"[30, 230, 'distance', 'ball_tree', 'manhattan']"
15,1.0,0.53,"[42, 181, 'distance', 'auto', 'euclidean']"
16,0.0,0.0,"[36, 290, 'uniform', 'brute', 'euclidean']"
17,0.0,0.0,"[46, 227, 'uniform', 'kd_tree', 'manhattan']"
18,0.0,0.0,"[42, 112, 'uniform', 'kd_tree', 'chebyshev']"
19,1.0,0.6799999999999999,"[26, 243, 'distance', 'kd_tree', 'manhattan']"
20,1.0,0.53,"[46, 216, 'distance', 'brute', 'manhattan']"
21,1.0,0.53,"[43, 290, 'distance', 'auto', 'manhattan']"
22,1.0,0.53,"[46, 184, 'distance', 'brute', 'manhattan']"
23,1.0,0.53,"[40, 240, 'distance', 'brute', 'manhattan']"
24,1.0,0.48,"[47, 258, 'distance', 'brute', 'manhattan']"
25,1.0,0.43,"[48, 189, 'distance', 'kd_tree', 'euclidean']"
26,1.0,0.48,"[49, 180, 'distance', 'auto', 'manhattan']"
27,1.0,0.53,"[38, 188, 'distance', 'auto', 'chebyshev']"
28,1.0,0.53,"[42, 225, 'distance', 'auto', 'manhattan']"
29,1.0,0.58,"[32, 143, 'distance', 'brute', 'manhattan']"
30,1.0,0.53,"[42, 300, 'distance', 'brute', 'chebyshev']"
31,0.0,0.0,"[50, 192, 'uniform', 'auto', 'manhattan']"
32,1.0,0.58,"[37, 255, 'distance', 'brute', 'manhattan']"
33,1.0,0.53,"[43, 241, 'distance', 'auto', 'manhattan']"
34,1.0,0.33999999999999997,"[48, 217, 'distance', 'brute', 'chebyshev']"
35,1.0,0.53,"[39, 171, 'distance', 'brute', 'chebyshev']"
36,1.0,0.58,"[34, 1, 'distance', 'ball_tree', 'manhattan']"
37,1.0,0.62,"[1, 186, 'uniform', 'kd_tree', 'euclidean']"
38,1.0,0.6799999999999999,"[28, 107, 'distance', 'brute', 'manhattan']"
39,1.0,0.44000000000000006,"[44, 242, 'distance', 'auto', 'chebyshev']"
40,1.0,0.73,"[25, 181, 'distance', 'brute', 'manhattan']"
41,0.0,0.0,"[34, 210, 'uniform', 'kd_tree', 'manhattan']"
42,1.0,0.73,"[8, 155, 'distance', 'brute', 'chebyshev']"
