,train,test,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0.843859649122807,0.822857142857143,26,285,uniform,ball_tree,euclidean,0,,,,,,,,,
1,0.7399274047186932,0.7361904761904763,32,118,uniform,ball_tree,euclidean,1,,,,,,,,,
2,0.9029643073200242,0.9057142857142857,6,256,uniform,ball_tree,euclidean,2,,,,,,,,,
3,0.8229280096793709,0.836190476190476,28,44,uniform,ball_tree,euclidean,3,,,,,,,,,
4,0.7083484573502722,0.7085714285714286,45,252,uniform,ball_tree,euclidean,4,,,,,,,,,
5,0.8821536600120993,0.8219047619047618,20,52,uniform,ball_tree,euclidean,5,,,,,,,,,
6,0.8403508771929824,0.8085714285714285,24,120,uniform,ball_tree,euclidean,6,,,,,,,,,
7,0.7083484573502722,0.7085714285714286,36,54,uniform,ball_tree,euclidean,7,,,,,,,,,
8,0.8681790683605565,0.8076190476190476,23,294,uniform,ball_tree,euclidean,8,,,,,,,,,
9,0.9064125831820931,0.836190476190476,15,113,uniform,ball_tree,euclidean,9,,,,,,,,,
10,0.9064730792498488,0.8914285714285715,4,300,uniform,ball_tree,euclidean,2,10(s),,,,,,,,
11,0.9133696309739866,0.9057142857142857,5,300,uniform,ball_tree,euclidean,2,11(s),,,,,,,,
12,0.9133091349062312,0.8342857142857143,3,189,uniform,ball_tree,euclidean,2,12(s),,,,,,,,
13,0.7083484573502722,0.7085714285714286,50,63,uniform,ball_tree,euclidean,3,13,,,,,,,,
14,0.9099213551119177,0.9057142857142857,7,79,uniform,ball_tree,euclidean,3,14,,,,,,,,
15,0.8960072595281308,0.836190476190476,18,1,uniform,ball_tree,euclidean,9,15,,,,,,,,
16,0.8960072595281308,0.8209523809523809,2,91,uniform,ball_tree,euclidean,9,16,,,,,,,,
17,0.7083484573502722,0.7085714285714286,48,300,uniform,ball_tree,euclidean,0,17,,,,,,,,
18,0.7434361766485178,0.7361904761904763,33,300,uniform,ball_tree,euclidean,0,18,,,,,,,,
19,0.8995160314579552,0.9057142857142857,6,1,uniform,ball_tree,euclidean,5,19,,,,,,,,
