,train,test,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,0.895946763460375,0.8485714285714285,52,0.19408201975448938,176662,481.71634328361716,linear,0,,,,,,,,,,,,,,,,
1,0.895946763460375,0.8619047619047621,385,0.6805023652761992,190135,111.28083080948579,linear,1,,,,,,,,,,,,,,,,
2,0.8890502117362372,0.8619047619047621,363,0.6959916567118137,52219,467.48895163750313,linear,2,,,,,,,,,,,,,,,,
3,0.8924984875983061,0.8619047619047621,475,0.6337521221562121,108602,152.6449545917138,linear,3,,,,,,,,,,,,,,,,
4,0.8027223230490017,0.6933333333333334,314,0.19870038096065057,8923,75.89300921137139,linear,4,,,,,,,,,,,,,,,,
5,0.8924984875983061,0.8619047619047621,505,0.6217290965886733,184532,396.80886795781464,linear,5,,,,,,,,,,,,,,,,
6,0.895946763460375,0.8485714285714285,358,0.09010143049763378,158825,391.5806528992949,linear,6,,,,,,,,,,,,,,,,
7,0.8924984875983061,0.8619047619047621,205,0.5250268819113699,129750,186.68872464645443,linear,7,,,,,,,,,,,,,,,,
8,0.8890502117362372,0.8485714285714285,357,0.7504321881005325,71402,398.8592659946438,linear,8,,,,,,,,,,,,,,,,
9,0.8890502117362372,0.8485714285714285,503,0.5620127594618668,124726,149.85812737261367,linear,9,,,,,,,,,,,,,,,,
10,0.8856019358741681,0.8485714285714285,574,0.8,200000,87.72948750124979,linear,1,10(s),,,,,,,,,,,,,,,
11,0.8821536600120993,0.8619047619047621,198,0.8,85965,203.44530551242474,linear,1,11(s),,,,,,,,,,,,,,,
12,0.8649122807017544,0.8333333333333333,446,0.8,34029,17.32611269223122,linear,1,12(s),,,,,,,,,,,,,,,
13,0.8821536600120992,0.8485714285714285,110,0.8,79943,500.0,linear,2,13,,,,,,,,,,,,,,,
14,0.8752571082879612,0.8342857142857142,722,0.14096527522846947,58038,292.4978142564905,linear,2,14,,,,,,,,,,,,,,,
15,0.8820931639443435,0.8619047619047621,743,0.8,50849,205.3667527824817,linear,3,15,,,,,,,,,,,,,,,
16,0.895946763460375,0.8485714285714285,652,0.1192152828952362,181886,294.0205049797383,linear,3,16,,,,,,,,,,,,,,,
17,0.8890502117362372,0.8771428571428572,804,0.13658810684384282,92346,500.0,linear,5,17,,,,,,,,,,,,,,,
18,0.895946763460375,0.862857142857143,718,0.28894865580882356,200000,165.64120277584206,linear,5,18,,,,,,,,,,,,,,,
19,0.8924984875983061,0.8619047619047621,203,0.7396524289450923,30931,114.95843806082766,linear,7,19,,,,,,,,,,,,,,,
20,0.8889897156684816,0.8485714285714285,199,0.755988668414656,200000,118.130276425788,linear,7,20,,,,,,,,,,,,,,,
21,0.895946763460375,0.8485714285714285,69,0.17562821524546815,161961,460.1586776446711,linear,0,21,,,,,,,,,,,,,,,
22,0.8924984875983061,0.8485714285714285,15,0.2669263752647115,163275,37.20603669979198,linear,0,22,,,,,,,,,,,,,,,
23,0.889050211736237,0.8485714285714285,656,0.09230761526247698,200000,154.31328331426295,linear,6,23,,,,,,,,,,,,,,,
24,0.8993950393224439,0.8485714285714285,683,0.05893650916221428,144117,500.0,linear,6,24,,,,,,,,,,,,,,,
25,0.6715063520871144,0.7066666666666667,629,0.8,4723,453.48385476790526,linear,8,25,,,,,,,,,,,,,,,
26,0.8924984875983061,0.8485714285714285,389,0.7419526269367339,70586,370.5996263022609,linear,8,26,,,,,,,,,,,,,,,
27,0.8821536600120993,0.8619047619047621,109,0.8,200000,118.10558901893208,linear,9,27,,,,,,,,,,,,,,,
28,0.8890502117362372,0.8485714285714285,806,0.8,147249,258.07200051007754,linear,9,28,,,,,,,,,,,,,,,
29,0.8096188747731399,0.7638095238095237,398,0.11982369458992874,13005,14.950305211184727,linear,4,29,,,,,,,,,,,,,,,
30,0.7915305505142165,0.7628571428571429,487,0.2856106322370002,8640,69.68774543238894,linear,4,30,,,,,,,,,,,,,,,
31,0.8994555353901996,0.8485714285714285,228,0.014842636308395607,92075,485.3922609533298,linear,5,17,31(s),,,,,,,,,,,,,,
32,0.8580157289776164,0.8485714285714285,650,0.06754873141212835,67369,209.07751636245223,linear,5,17,32(s),,,,,,,,,,,,,,
33,0.8994555353901996,0.8485714285714285,398,0.024355259602384174,91984,74.14618668850181,linear,5,17,33(s),,,,,,,,,,,,,,
34,0.8924984875983061,0.862857142857143,98,0.2309477245807886,50069,61.47659946672101,linear,5,18,34,,,,,,,,,,,,,,
35,0.8924984875983061,0.8619047619047621,539,0.48403815997544886,87975,295.2936691468674,linear,5,18,35,,,,,,,,,,,,,,
36,0.8856019358741681,0.8342857142857143,607,0.5829782237287684,177411,10.310327173186153,linear,1,36,,,,,,,,,,,,,,,
