,train,test,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
59,0.7995091164095373,0.7760869565217392,17,300,uniform,ball_tree,euclidean,2,33(s),59,,,,,,,,,
60,0.6573398784478728,0.6637681159420289,50,143,uniform,ball_tree,euclidean,2,33(s),60,,,,,,,,,
61,0.670266479663394,0.6894927536231885,41,53,uniform,ball_tree,euclidean,1,29,40,61.0,,,,,,,,
62,1.0,0.7579710144927535,1,120,uniform,ball_tree,euclidean,1,29,40,62.0,,,,,,,,
63,0.7973819541841983,0.7844202898550724,10,300,uniform,ball_tree,euclidean,1,63,,,,,,,,,,
64,0.7435483870967742,0.714855072463768,32,282,uniform,ball_tree,euclidean,1,64,,,,,,,,,,
65,0.6702431042543243,0.6637681159420289,43,90,uniform,ball_tree,euclidean,1,29,41,65.0,,,,,,,,
66,0.6702431042543243,0.6550724637681158,49,112,uniform,ball_tree,euclidean,1,29,41,66.0,,,,,,,,
67,1.0,0.7579710144927535,1,63,uniform,ball_tree,euclidean,2,67(s),,,,,,,,,,
68,0.7757830762038337,0.7416666666666667,8,45,uniform,ball_tree,euclidean,2,68(s),,,,,,,,,,
69,0.7413978494623656,0.7677536231884058,27,181,uniform,ball_tree,euclidean,2,69(s),,,,,,,,,,
70,0.7478494623655914,0.8018115942028985,26,300,uniform,ball_tree,euclidean,2,10(s),70,,,,,,,,,
71,0.8082047685834504,0.7583333333333333,15,183,uniform,ball_tree,euclidean,2,10(s),71,,,,,,,,,
72,0.6616175783076204,0.6634057971014493,40,4,uniform,ball_tree,euclidean,0,28,45,72.0,,,,,,,,
73,0.7478494623655914,0.8018115942028985,26,10,uniform,ball_tree,euclidean,0,28,45,73.0,,,,,,,,
74,0.8082047685834504,0.7583333333333333,15,300,uniform,ball_tree,euclidean,2,10(s),50,74.0,,,,,,,,
75,0.7241467975689575,0.6978260869565217,33,300,uniform,ball_tree,euclidean,2,10(s),50,75.0,,,,,,,,
76,0.7931042543244506,0.7152173913043478,5,94,uniform,ball_tree,euclidean,2,32(s),58,76.0,,,,,,,,
77,0.7973819541841983,0.7844202898550724,10,6,uniform,ball_tree,euclidean,2,32(s),58,77.0,,,,,,,,
78,0.6573398784478728,0.6637681159420289,50,278,uniform,ball_tree,euclidean,2,46(s),78,,,,,,,,,
