,train,test,parameters
0,1.0,0.9180952380952382,"[768.2032186779426, 0.10769346859248136, 58626.84375715648, 393.60087366347744, 'poly']"
1,1.0,0.7085714285714286,"[869.4254016019366, 0.7696909634685265, 135507.9214867382, 269.63942479274584, 'rbf']"
2,1.0,0.7085714285714286,"[960.7922204846009, 0.1795441056408789, 65591.40118329131, 341.59685895104906, 'rbf']"
3,1.0,0.8895238095238096,"[67.63351699095661, 0.4858433270274312, 30710.640981094977, 246.98396171435684, 'poly']"
4,1.0,0.9180952380952382,"[247.97660076499577, 0.020855398244378657, 146548.9245080037, 335.57148108715626, 'poly']"
5,1.0,0.9180952380952382,"[175.40500703800163, 0.03769549688955188, 72669.25030128047, 20.800433000524276, 'linear']"
6,1.0,0.9180952380952382,"[688.0031498633631, 0.04176114379092687, 181443.52564186716, 277.9057771422255, 'linear']"
7,1.0,0.903809523809524,"[177.88059628058147, 0.35129818531240625, 83988.96191666191, 321.69447793053246, 'poly']"
8,1.0,0.9180952380952382,"[111.68395737513981, 0.016815714681923898, 188780.41765639625, 268.4920031891787, 'poly']"
9,1.0,0.7085714285714286,"[442.37491583259157, 0.7685870629568237, 1303.0794550878911, 426.799523768344, 'rbf']"
10,1.0,0.7085714285714286,"[466.9131306664401, 0.5928507302160559, 164428.05884160628, 4.58043611617507, 'rbf']"
11,1.0,0.8895238095238096,"[448.53037772755084, 0.6436522271580344, 99282.14737357621, 490.8893631336208, 'poly']"
12,1.0,0.7085714285714286,"[726.5522519437436, 0.39184941132861895, 130634.25857980955, 485.92830730519546, 'rbf']"
13,1.0,0.9180952380952382,"[944.7451120107855, 0.3342975564531563, 104191.50119972075, 413.3242228667985, 'poly']"
14,0.7083484573502722,0.7085714285714286,"[219.04088573453504, 0.3794018077678017, 46775.0997630928, 182.3376272234513, 'sigmoid']"
15,1.0,0.9180952380952382,"[319.2976211105166, 0.21774075640251356, 138826.42333317772, 257.30115365667365, 'poly']"
16,1.0,0.903809523809524,"[181.08467666376308, 0.4507213005266538, 46774.9439620084, 345.3029088888461, 'poly']"
17,1.0,0.9180952380952382,"[680.5675082700018, 0.1737964703506643, 152074.1189334374, 317.0034698934416, 'poly']"
18,0.7083484573502722,0.7085714285714286,"[273.84909592041976, 0.747940109706556, 108404.25186022866, 277.20802131080376, 'sigmoid']"
19,1.0,0.9180952380952382,"[326.67774425878844, 0.006555273543282911, 154808.1707882856, 308.8368913227816, 'poly']"
20,1.0,0.9180952380952382,"[326.48558365892717, 0.46588086678328605, 119447.96467311455, 260.5983110582518, 'linear']"
21,1.0,0.9180952380952381,"[872.3255646475741, 0.8, 115425.61869778715, 260.1268390599891, 'poly']"
22,1.0,0.8895238095238096,"[544.7524195801662, 0.5369275349582217, 156338.415652203, 161.23273442242044, 'poly']"
23,1.0,0.7085714285714286,"[1000.0, 0.6834567468307392, 104851.86121804232, 356.0227242292811, 'rbf']"
24,1.0,0.7085714285714286,"[1.0, 0.5492906557768573, 174703.174366144, 412.02151551255116, 'rbf']"
25,1.0,0.9180952380952382,"[359.0056390232696, 0.5046484645805684, 92885.60418565852, 179.85557787411076, 'linear']"
26,0.7083484573502722,0.7085714285714286,"[233.30173526214656, 0.7401890453261433, 200000.0, 165.0150363830486, 'sigmoid']"
27,1.0,0.9180952380952382,"[370.3405250748916, 0.43799610520623666, 70933.10039173637, 500.0, 'linear']"
28,1.0,0.8895238095238096,"[289.0113092638088, 0.6098896671469893, 100.0, 359.50788953098936, 'poly']"
29,1.0,0.9038095238095238,"[312.87707975906284, 0.7113825232691252, 146323.52533029302, 452.81865835790836, 'poly']"
30,1.0,0.9180952380952382,"[524.918123622341, 0.4116530492804706, 97706.9925066591, 0.0001, 'linear']"
31,1.0,0.9180952380952382,"[721.0002762897319, 1e-05, 147782.39450901927, 293.81071320998086, 'poly']"
32,1.0,0.7085714285714286,"[504.77400677583256, 0.276378077915914, 80134.3207081546, 187.79669717008505, 'rbf']"
33,1.0,0.9180952380952382,"[215.06365306721995, 0.24101634078956208, 119958.16648723732, 451.40219243458205, 'poly']"
34,1.0,0.9180952380952382,"[239.2114819118964, 0.3827540491676277, 115653.07257588423, 437.7869988835064, 'linear']"
35,1.0,0.7085714285714286,"[906.5419213250545, 0.569396561759623, 143089.22513584368, 312.1592436666264, 'rbf']"
36,1.0,0.9180952380952381,"[567.7617210771489, 0.792171055194981, 99744.58839889082, 284.2047623676602, 'poly']"
37,1.0,0.9038095238095238,"[694.9348462197844, 0.7056389090154368, 150027.6116503683, 227.45302429489368, 'poly']"
38,1.0,0.7085714285714286,"[530.0290940043246, 0.268286474222269, 136456.6293706958, 414.7324184924177, 'rbf']"
39,1.0,0.903809523809524,"[953.763959599872, 0.4825970970485137, 49265.314063044134, 273.1526078574544, 'poly']"
40,0.7083484573502722,0.7085714285714286,"[830.9824813942508, 1e-05, 94947.26686067894, 455.2067955341625, 'sigmoid']"
41,1.0,0.7085714285714286,"[496.3270855491167, 0.5796894479564267, 129939.8536126892, 216.56273933557256, 'rbf']"
42,0.9098003629764065,0.9038095238095238,"[464.3216472411747, 0.4086197376657052, 160230.7169914849, 0.0001, 'rbf']"
43,1.0,0.903809523809524,"[1.0, 0.4254883357599632, 98094.71489523936, 299.4922597463576, 'poly']"
44,1.0,0.7085714285714286,"[342.40682885277965, 0.03247598485754898, 200000.0, 267.3404971669563, 'rbf']"
45,1.0,0.7085714285714286,"[730.7250024749586, 0.3658579425059163, 60281.304219990474, 449.82211743511215, 'rbf']"
