,train,test,parameters
0,1.0,0.5518115942028985,"[613.9985023605453, 0.7476404286470961, 91299.48512831471, 489.2564748275612, 'rbf']"
1,1.0,0.6568840579710146,"[233.6222135322005, 0.7067274907651523, 185562.7015642971, 457.1408654809118, 'poly']"
2,1.0,0.6394927536231884,"[211.3261574235068, 0.21678972128655968, 29351.48517705589, 131.21344924663515, 'poly']"
3,0.5517297802711547,0.5518115942028985,"[595.9777378899998, 0.4377622760473803, 17859.325274001112, 426.2753316911751, 'sigmoid']"
4,1.0,0.5518115942028985,"[529.7181949255865, 0.5522206311436788, 123393.20467029545, 178.6093978857541, 'rbf']"
5,1.0,0.5518115942028985,"[77.9178349621754, 0.4217895374732533, 162640.5886754256, 225.43924897276602, 'rbf']"
6,1.0,0.6481884057971015,"[936.4009399672841, 0.2337564787938322, 39697.67943415956, 210.33459900422534, 'poly']"
7,1.0,0.6036231884057971,"[982.533183848106, 0.25164141981431914, 105053.86879842695, 63.457000814350046, 'rbf']"
8,1.0,0.5518115942028985,"[622.6452748718625, 0.12155425751140805, 153792.43264171295, 217.96065594664933, 'rbf']"
9,0.7866292660121553,0.725,"[953.8887871730942, 0.38204923424754095, 168725.23205768483, 492.8679578190722, 'linear']"
10,0.7823281907433381,0.7242753623188406,"[257.28549509858783, 0.7316030529195572, 146176.5794291125, 269.2857175375697, 'linear']"
11,0.5517297802711547,0.5518115942028985,"[838.2240544758307, 0.09568072331769134, 164603.78475169468, 454.3750258973015, 'sigmoid']"
12,1.0,0.6655797101449276,"[768.827014090682, 0.6537358665052213, 72175.61177385553, 383.63628292207807, 'poly']"
13,0.7866292660121553,0.7333333333333332,"[406.08979439800964, 0.5091743110078227, 74380.82234984079, 383.56534196624716, 'linear']"
14,0.7952314165497898,0.7333333333333333,"[796.643875793512, 0.4411325074203957, 134671.5693250827, 285.78180192000013, 'linear']"
15,1.0,0.6394927536231884,"[821.506534958902, 0.10936640108169836, 89095.06245510413, 192.37568648699232, 'poly']"
16,0.5517297802711547,0.5518115942028985,"[868.186804041935, 0.5184809447766388, 77306.0464593941, 325.88095204393073, 'sigmoid']"
17,1.0,0.5518115942028985,"[362.5207503096752, 0.39304783836727053, 5739.411403896686, 390.35872622490916, 'rbf']"
18,0.7844319775596074,0.75,"[248.34645217241427, 0.3023036622765103, 193314.95037192325, 428.9283001172121, 'linear']"
19,0.7845021037868163,0.7336956521739131,"[915.6864112628833, 0.18040014534207133, 3282.478836847531, 454.7604157122122, 'linear']"
20,1.0,0.6655797101449276,"[7.656548367983724, 0.4150927848602233, 105781.9684245474, 86.71566172721049, 'poly']"
21,1.0,0.5775362318840579,"[530.4946143411588, 0.1042671109716524, 122216.15406041344, 88.23875531626655, 'rbf']"
22,1.0,0.6394927536231884,"[338.22987840371576, 0.2709492316659878, 196288.09774557457, 51.99322850243948, 'poly']"
23,0.7844787283777468,0.7159420289855072,"[250.24671413672587, 0.2485276739150591, 200000.0, 0.0001, 'linear']"
24,1.0,0.6481884057971015,"[597.237907009577, 0.5615701886615064, 96597.51339104916, 500.0, 'poly']"
25,1.0,0.6481884057971015,"[544.5852678077007, 0.2988388015387994, 135685.1811290079, 322.58471856903554, 'poly']"
26,0.9978494623655914,0.6478260869565218,"[1.0, 0.45803120767299355, 130487.06159748299, 14.62944197819628, 'poly']"
27,1.0,0.6394927536231884,"[191.14993326027624, 0.20270593754287636, 170635.9207937913, 453.1180009833183, 'poly']"
28,1.0,0.6568840579710146,"[451.37270297082813, 0.37912270108430757, 171670.2383343023, 244.93022321406335, 'poly']"
29,1.0,0.5518115942028985,"[1000.0, 0.33048666406288524, 171060.62597824435, 173.5646857808617, 'rbf']"
30,1.0,0.6394927536231884,"[635.5224529493221, 0.09806445697748102, 155861.68683504735, 175.3639595417034, 'poly']"
31,1.0,0.7239130434782608,"[638.8363240616968, 0.5168975584367244, 179561.01351153306, 20.865338172047633, 'rbf']"
32,0.734992987377279,0.6304347826086957,"[643.5993920038771, 0.8, 100.0, 205.06754348401975, 'poly']"
33,1.0,0.5518115942028985,"[608.6510888302241, 0.08610952373848785, 44552.78246054719, 206.9265416524822, 'rbf']"
34,1.0,0.5605072463768116,"[478.25376221559765, 0.2252991274441988, 106508.11606474938, 141.2984541790582, 'rbf']"
35,1.0,0.5518115942028985,"[843.1762921597655, 0.17612882645331654, 63335.79759563591, 413.57591456058503, 'rbf']"
36,0.5517297802711547,0.5518115942028985,"[744.1676219908792, 1e-05, 180282.82161488538, 147.74961492645488, 'sigmoid']"
37,1.0,0.7413043478260869,"[438.20522675631156, 0.5335694525818527, 191391.30754474807, 14.955115433309837, 'rbf']"
38,1.0,0.6481884057971015,"[632.6176312996015, 0.47209754098123696, 122356.71619772071, 21.640724778734025, 'poly']"
39,1.0,0.5518115942028985,"[876.7052686984239, 0.14199862385942186, 167812.43262931978, 159.0278557012113, 'rbf']"
40,1.0,0.6394927536231884,"[1.0, 1e-05, 56666.62830014933, 194.41434943913526, 'poly']"
41,1.0,0.5518115942028985,"[664.4185931541389, 0.34294586263553156, 164802.88729786393, 184.82557987882294, 'rbf']"
42,1.0,0.5518115942028985,"[490.11562410772297, 0.40349593682260865, 100.0, 178.76929419512416, 'rbf']"
43,0.7866292660121553,0.7333333333333333,"[288.13262484542645, 0.11510149854472358, 196876.2138292058, 0.0001, 'linear']"
44,1.0,0.6481884057971015,"[764.0782841867864, 0.4770234396950825, 57217.59920798771, 336.36742017185713, 'poly']"
45,1.0,0.5518115942028985,"[1000.0, 0.2282651728179209, 108115.41837222062, 259.9463588141642, 'rbf']"
46,1.0,0.5518115942028985,"[399.85376687137784, 0.16112296645863777, 35217.97405175464, 192.28898953116703, 'rbf']"
47,1.0,0.6481884057971015,"[27.321924293393636, 0.37387674930277687, 130441.37960859579, 345.0076543561897, 'poly']"
48,1.0,0.6655797101449276,"[469.9853162925533, 0.5791475650032396, 123863.47120516284, 240.7175175446268, 'poly']"
49,0.7909303412809725,0.7507246376811594,"[263.85450511484623, 0.42127868094321574, 100833.35247134784, 312.1168279541089, 'linear']"
